iter	Passed	Remaining
249	5328	201230
250	5348	201148
251	5368	201084
252	5388	201027
253	5409	200999
254	5431	200987
255	5450	200885
256	5470	200813
257	5491	200789
258	5512	200747
259	5533	200709
260	5555	200725
261	5574	200611
262	5594	200556
263	5617	200605
264	5640	200624
265	5661	200589
266	5679	200448
267	5697	200342
268	5718	200307
269	5737	200202
270	5755	200048
271	5772	199888
272	5790	199755
273	5810	199684
274	5826	199508
275	5847	199456
276	5865	199354
277	5884	199250
278	5903	199162
279	5925	199171
280	5945	199106
281	5963	198985
282	5985	198985
283	6006	198959
284	6028	198975
285	6052	199021
286	6072	198971
287	6094	198994
288	6117	199013
289	6135	198897
290	6156	198867
291	6175	198776
292	6193	198669
293	6209	198484
294	6230	198460
295	6251	198432
296	6271	198366
297	6291	198298
298	6309	198192
299	6329	198120
300	6346	197990
301	6367	197946
302	6386	197861
303	6403	197728
304	6423	197667
305	6444	197650
306	6466	197667
307	6486	197616
308	6503	197476
309	6523	197399
310	6542	197331
311	6561	197255
312	6582	197212
313	6601	197145
314	6621	197078
315	6638	196936
316	6655	196814
317	6675	196747
318	6691	196585
319	6709	196472
320	6728	196418
321	6747	196332
322	6768	196319
323	6787	196230
324	6806	196142
325	6825	196084
326	6848	196105
327	6866	196005
328	6888	196016
329	6907	195943
330	6928	195911
331	6948	195884
332	6970	195876
333	6990	195839
334	7010	195787
335	7028	195686
336	7047	195607
337	7068	195585
338	7087	195509
339	7109	195525
340	7128	195459
341	7149	195453
342	7171	195443
343	7188	195322
344	7206	195216
345	7228	195240
346	7249	195214
347	7266	195101
348	7286	195034
349	7304	194949
350	7324	194903
351	7352	195079
352	7376	195136
353	7394	195036
354	7416	195048
355	7436	195002
356	7457	194975
357	7479	194978
358	7497	194894
359	7517	194851
360	7536	194769
361	7554	194681
362	7578	194736
363	7597	194666
364	7614	194566
365	7636	194556
366	7657	194548
367	7678	194525
368	7699	194500
369	7720	194499
370	7742	194511
371	7762	194453
372	7780	194375
373	7799	194294
374	7818	194229
375	7838	194195
376	7859	194166
377	7877	194076
378	7898	194064
379	7920	194075
380	7939	194003
381	7958	193942
382	7975	193818
383	7994	193760
384	8014	193733
385	8035	193713
386	8055	193670
387	8073	193577
388	8091	193481
389	8110	193418
390	8131	193414
391	8158	193542
392	8183	193620
393	8206	193643
394	8229	193674
395	8251	193680
396	8274	193706
397	8294	193674
398	8320	193767
399	8341	193754
400	8363	193762
401	8385	193759
402	8406	193753
403	8428	193744
